TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,SEASON
MEM,2021-05-03,@MIL,"OLYNYK, KELLY",37,14,16,2,14,1,0,0,4,5,14,0.3571428571,2,11,0.1818181818,2,2,1,3,MIL,0,31,NA,92,122,30.03835616,L,20-21
MIA,2021-01-31,@PHI,"ADEBAYO, BAM",39,23,16,2,14,4,3,0,4,10,14,0.7142857143,0,1,0,3,4,0.75,5,PHI,0,46,NA,117,121,23.53972603,L,20-21
MIA,2021-02-12,@WAS,"ADEBAYO, BAM",37,24,16,3,13,4,0,1,0,11,14,0.7857142857,0,0,NA,2,2,1,3,WAS,0,45,NA,112,98,23.57260274,W,20-21
MIL,2020-12-09,MIA,"ANTETOKOUNMPO, GIANNIS",38,21,16,7,9,9,1,0,1,7,14,0.5,2,6,0.3333333333,5,8,0.625,6,MIA,0,47,NA,136,102,26.00821918,W,20-21
MIL,2021-01-10,ATL,"ANTETOKOUNMPO, GIANNIS",34,20,16,4,12,10,0,3,4,5,15,0.3333333333,3,8,0.375,7,15,0.4666666667,2,ATL,1,49,NA,117,81,26.09589041,W,20-21
MIL,2021-01-26,@MEM,"HOWARD, DWIGHT",28,7,16,6,10,1,0,2,0,3,6,0.5,0,0,NA,1,1,1,4,MEM,0,26,NA,130,105,35.13424658,W,20-21
MIL,2021-02-01,LAL,"HOWARD, DWIGHT",28,0,16,8,8,0,0,3,1,0,0,NA,0,0,NA,0,0,NA,4,LAL,0,19,NA,117,101,35.15068493,W,20-21
MIL,2021-03-26,SAC,"ANTETOKOUNMPO, GIANNIS",31,27,16,5,11,6,3,2,1,12,26,0.4615384615,0,5,0,3,4,0.75,2,SAC,0,54,NA,139,107,26.30136986,W,20-21
MIL,2021-04-16,@MIA,"ANTETOKOUNMPO, GIANNIS",38,32,16,4,12,7,2,2,2,8,18,0.4444444444,2,7,0.2857142857,14,20,0.7,4,MIA,0,59,NA,104,99,26.35890411,W,20-21
MIN,2020-12-16,@WAS,"TOWNS, KARL-ANTHONY",39,31,16,5,11,7,2,2,0,8,20,0.4,5,14,0.3571428571,10,12,0.8333333333,4,WAS,0,58,NA,107,94,25.08493151,W,20-21
MIN,2021-01-10,@SAS,"TOWNS, KARL-ANTHONY",39,42,16,5,11,6,1,2,1,13,19,0.6842105263,9,14,0.6428571429,7,9,0.7777777778,5,SAS,0,67,NA,131,99,25.15342466,W,20-21
MIN,2021-01-19,@OKC,"TOWNS, KARL-ANTHONY",37,13,16,3,13,7,0,1,5,5,9,0.5555555556,1,5,0.2,2,2,1,2,OKC,0,37,NA,103,107,25.17808219,L,20-21
NOP,2021-02-24,@BOS,"ALLEN, JARRETT",33,14,16,3,13,0,0,6,0,6,7,0.8571428571,0,0,NA,2,2,1,0,BOS,0,36,NA,120,118,22.84657534,W,20-21
NOP,2021-03-29,OKC,"WILLIAMSON, ZION",34,20,16,7,9,3,0,0,1,8,14,0.5714285714,0,0,NA,4,6,0.6666666667,3,OKC,0,39,NA,129,105,20.72876712,W,20-21
OKC,2020-12-03,BKN,"BAGLEY, MARVIN",34,6,16,8,8,1,1,1,0,1,9,0.1111111111,0,2,0,4,5,0.8,4,BKN,0,25,NA,101,139,21.72328767,L,20-21
OKC,2020-12-08,WAS,"BAGLEY, MARVIN",36,17,16,6,10,0,0,1,3,8,18,0.4444444444,1,3,0.3333333333,0,0,NA,5,WAS,0,34,NA,109,103,21.7369863,W,20-21
PHX,2020-12-21,MIA,"AYTON, DEANDRE",31,9,16,6,10,3,1,6,3,4,9,0.4444444444,0,0,NA,1,3,0.3333333333,2,MIA,0,35,NA,119,122,22.41369863,L,20-21
PHX,2021-01-02,@SAC,"AYTON, DEANDRE",38,11,16,4,12,7,0,0,2,5,12,0.4166666667,0,0,NA,1,2,0.5,2,SAC,0,34,NA,108,148,22.44657534,L,20-21
PHX,2021-03-16,OKC,"AYTON, DEANDRE",33,14,16,5,11,2,2,1,0,5,11,0.4545454545,0,1,0,4,4,1,2,OKC,0,35,NA,111,93,22.64657534,W,20-21
PHX,2021-05-07,@IND,"AYTON, DEANDRE",32,22,16,4,12,0,1,1,0,9,16,0.5625,0,0,NA,4,4,1,1,IND,0,40,NA,96,105,22.7890411,L,20-21
POR,2020-12-13,@OKC,"WHITESIDE, HASSAN",26,10,16,3,13,0,2,4,1,5,7,0.7142857143,0,0,NA,0,1,0,3,OKC,0,32,NA,139,103,31.50136986,W,20-21
POR,2020-12-30,@SAS,"WHITESIDE, HASSAN",30,13,16,6,10,0,1,3,1,5,11,0.4545454545,0,0,NA,3,5,0.6,6,SAS,0,33,NA,111,106,31.54794521,W,20-21
POR,2021-01-16,@LAC,"NURKIC, JUSUF",27,10,16,6,10,3,1,2,0,5,11,0.4545454545,0,0,NA,0,0,NA,4,LAC,0,32,NA,93,96,26.4,L,20-21
POR,2021-01-21,OKC,"NURKIC, JUSUF",28,16,16,7,9,5,0,2,2,7,14,0.5,0,0,NA,2,2,1,1,OKC,0,39,NA,137,128,26.41369863,W,20-21
POR,2021-04-14,@ATL,"MILLSAP, PAUL",31,16,16,6,10,0,2,1,6,7,10,0.7,2,4,0.5,0,0,NA,1,ATL,0,35,NA,122,130,36.17260274,L,20-21
SAC,2020-12-13,CHA,"CAPELA, CLINT",34,8,16,5,11,2,0,1,1,4,4,1,0,0,NA,0,0,NA,4,CHA,0,27,NA,140,110,26.57260274,W,20-21
