TEAM,DATE,OPP,PLAYER,M,P,R,OR,DR,A,S,B,TO,FGM,FGA,FGPCT,3PM,3PA,3PPCT,FTM,FTA,FTPCT,PF,OPP_TEAM,TD,BOX,...27,TEAM_PTS,OPP_TEAM_PTS,AGE,WL,gametype,GAME,ROUND,SEASON
BKN,2021-07-02,@MIL,"DURANT, KEVIN",36,45,7,1,6,4,0,1,2,17,25,0.68,5,11,0.4545454545,6,6,1,1,MIL,0,57,NA,124,123,32.75890411,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"DINWIDDIE, SPENCER",30,20,5,0,5,3,1,0,2,9,21,0.4285714286,0,3,0,2,3,0.6666666667,1,MIL,0,29,NA,124,123,28.23835616,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"COVINGTON, ROBERT",32,17,9,0,9,4,2,1,2,6,11,0.5454545455,5,8,0.625,0,0,NA,3,MIL,0,33,NA,124,123,30.54794521,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"HARRIS, JOE",32,15,11,1,10,4,1,0,1,7,11,0.6363636364,1,4,0.25,0,0,NA,0,MIL,0,31,NA,124,123,29.81917808,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"JAMES, LEBRON",32,14,3,0,3,8,0,1,3,4,13,0.3076923077,0,3,0,6,9,0.6666666667,1,MIL,0,26,NA,124,123,36.50410959,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"CARUSO, ALEX",19,5,4,0,4,5,1,0,0,1,5,0.2,1,1,1,2,2,1,0,MIL,0,15,NA,124,123,27.33972603,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"CAULEY-STEIN, WILLIE",24,4,6,1,5,1,2,1,1,2,4,0.5,0,1,0,0,0,NA,4,MIL,0,14,NA,124,123,27.87123288,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"ALDRIDGE, LAMARCUS",26,4,3,0,3,0,0,0,0,2,4,0.5,0,0,NA,0,0,NA,0,MIL,0,7,NA,124,123,35.95342466,W,PLAYOFF,1,2,20-21
BKN,2021-07-02,@MIL,"GIBSON, TAJ",9,0,4,0,4,0,0,0,0,0,1,0,0,0,NA,0,0,NA,3,MIL,0,4,NA,124,123,36.02191781,W,PLAYOFF,1,2,20-21
BKN,2021-07-04,@MIL,"DURANT, KEVIN",40,40,11,2,9,6,2,4,1,16,29,0.5517241379,2,6,0.3333333333,6,7,0.8571428571,1,MIL,0,63,NA,133,125,32.76438356,W,PLAYOFF,2,2,20-21
